PT-03 | a1d50c97caa071d165c1fef992d6a0082966d835 -> f13cccc978427327f8fcbcc4d6d256729bee18bc | PT-03: isolate governance mutations; preserve caller bytes and index | integrated-targeted-evidence
POP-06 | 9b2b0017e129ca9277ceb5629b827f7815b4f07c -> f799a7a8a7249777721f7b4a72e99f54dbfaa651 | POP-06: stage decoded YAML separately and restore output on publication failure — verify red, green and killed mutation | integrated-targeted-evidence
IDEP-002 | 40731e1bc2825c6b1b9bb7840deaf1af4987243b -> 3d420f5cb256fd182412a2800f9bc1548552ae82 | fix(IDEP-002): bind backup resources to installed Compose mounts; reject stale generations with mutation proof | integrated-targeted-evidence
IT-CLI-01 | 4bf9284e783cbf6244a4cac57404b60b443ea343 -> 49b8ca5a102caf07e09ef23a51c5fec11790b411 | IT-CLI-01: reject whitespace repair filters before credential access; verify RED, mutant rejection and restored GREEN | integrated-targeted-evidence
POP-04 | 5b94b9e0f3c7db5141e3456d3395e09bbca14b7d -> 43c789c2348be69c01eb1b472dae6b9cbf582f5a | POP-04: lock shared checkout before fetch across candidate SHAs — verify red, green and killed mutation | integrated-targeted-evidence
POP-05 | 264f2466cc63193e687924571ef9db79dd114230 -> df9d5284a12ccf4adf6ab6db4c1f71f56d7f4096 | POP-05: reject aliased and root-parent installation targets before writes — verify red, green and killed mutation | integrated-targeted-evidence
F4 | 2b8519a55ae631799ec703faa34b139aa0fc53a4 -> 4c0ce3742f176753cdf6f3a56f7e6a8d52ae374d | fix(F4): resolve immutable invoice release layouts; test both roots and signed manifest paths | integrated-targeted-evidence
POP-01 | 6e14f0a761b1501ea6f51bcae160039ec029210d -> cf4f4cc8402e6a8204256129a0b384f2fb83969e | POP-01: separate Git roots from platform asset roots in tools and runbooks — verify red, green and killed mutation | integrated-targeted-evidence
POP-02 | d4a0751bbb7706b10f605e75e836f3f70ef22248 -> 9fec5f15b493e3260e4290b9925251df03e1f96d | POP-02: preserve receive quarantine object visibility — verify red, green and killed mutation | integrated-targeted-evidence
POP-03 | 16732154aaec81ca0c9949eaf5622637bb204b91 -> f3154a2ca641a472b6cfc1e1df94e7c44f39a4f4 | POP-03: release only invocation-owned promote lock files — verify red, green and killed mutation | integrated-targeted-evidence
IDEP-003 | be184bf77291b1a030d6f662324651412e4d844a -> 95825f7a17e66b86d38aa197732a31b2466522d9 | fix(IDEP-003): forward sealed cutover runtime; verify both source fallbacks | integrated-targeted-evidence
IDEP-004 | ec4d35170b78cf8fd7e3e6014aa1a932b1619b3c -> b0ad5e6afcff0a9d27910de989c5ee42e9edcda7 | fix(IDEP-004): bind Compose tag to approved env; reject inherited conflicts | integrated-targeted-evidence
IDEP-008 | 7fa64d7213edbc524bbc42f8c718098f66c4236f -> 54f9d045c96c835bfa50526b41d7d4d3acb27347 | fix(IDEP-008): drain startup logs; verify marker and producer failures | integrated-targeted-evidence
INV-AUX-002 | 307d8f8ee4445c30401d877eee24fc9b06bc33f3 -> acbfe3bf160fbc3d3faafba5780008fd49669435 | INV-AUX-002: read container endpoint aliases; verify valid, absent and failed inspection fixtures | integrated-targeted-evidence
